ROW,ROW_BUS,COLUMN,COLUMN_BUS,REAL,IMAGINARY
0,1,0,1,3.65450097001827,-63.36747731958560
1,2,0,1,-2.05705688056140,24.15572508316387
38,39,0,1,-1.59744408945687,39.93610223642172
0,1,1,2,-2.05705688056140,24.15572508316387
1,2,1,2,64.64569545159222,-211.87056920901321
2,3,1,2,-5.65955594253374,65.73791902481497
24,25,1,2,-56.92908262849707,69.94144437215355
29,30,1,2,-0.00000000000000,53.90109149710281
1,2,2,3,-5.65955594253374,65.73791902481497
2,3,2,3,14.69062005200674,-186.84298940536652
3,4,2,3,-2.85475866309456,46.77412271070315
17,18,2,3,-6.17630544637844,74.67714766984841
2,3,3,4,-2.85475866309456,46.77412271070315
3,4,3,4,12.50755722639896,-201.57062289029008
4,5,3,4,-4.86381322957198,77.82101167315174
13,14,3,4,-4.78898533373242,77.22238850643519
3,4,4,5,-4.86381322957198,77.82101167315174
4,5,4,5,40.62075560042896,-548.84384015926696
5,6,4,5,-29.41176470588236,382.35294117647061
7,8,4,5,-6.34517766497462,88.83248730964468
4,5,5,6,-29.41176470588236,382.35294117647061
5,6,5,6,46.80574252438314,-646.44708466866041
6,7,5,6,-7.05882352941176,108.23529411764706
10,11,5,6,-10.33515428908903,121.06895024361434
30,31,5,6,-0.00000000000000,37.38317757009346
5,6,6,7,-7.05882352941176,108.23529411764706
6,7,6,7,25.82054960821101,-323.89964402383845
7,8,6,7,-18.76172607879925,215.75984990619136
4,5,7,8,-6.34517766497462,88.83248730964468
6,7,7,8,-18.76172607879925,215.75984990619136
7,8,7,8,26.84540319198926,-331.72739372462684
8,9,7,8,-1.73849944821539,27.43805650879076
7,8,8,9,-1.73849944821539,27.43805650879076
8,9,8,9,3.33594353767226,-66.58395874521248
38,39,8,9,-1.59744408945687,39.93610223642172
9,10,9,10,42.89544235924933,-504.72504177559085
10,11,9,10,-21.44772117962466,230.56300268096516
12,13,9,10,-21.44772117962466,230.56300268096516
31,32,9,10,-0.00000000000000,46.72897196261682
5,6,10,11,-10.33515428908903,121.06895024361434
9,10,10,11,-21.44772117962466,230.56300268096516
10,11,10,11,32.62728730947873,-374.48349984537896
11,12,10,11,-0.83937558724159,22.82052377813066
10,11,11,12,-0.83937558724159,22.82052377813066
11,12,11,12,1.66873874203099,-45.36883454896752
12,13,11,12,-0.83937558724159,22.82052377813066
9,10,12,13,-21.44772117962466,230.56300268096516
11,12,12,13,-0.83937558724159,22.82052377813066
12,13,12,13,31.04529388403491,-351.62776596044966
13,14,12,13,-8.75316086364521,98.22991635868509
3,4,13,14,-4.78898533373242,77.22238850643519
12,13,13,14,-8.75316086364521,98.22991635868509
13,14,13,14,17.33857333761342,-220.88209316685189
14,15,13,14,-3.79642714023580,45.76803830173159
13,14,14,15,-3.79642714023580,45.76803830173159
14,15,14,15,13.88950777273552,-150.91615824117309
15,16,14,15,-10.09308063249972,105.41661993944150
14,15,15,16,-10.09308063249972,105.41661993944150
15,16,15,16,36.02583832184625,-510.42778860795488
16,17,15,16,-8.78293601003764,111.66875784190715
18,19,15,16,-4.17961913220658,50.93910817376766
20,21,15,16,-4.37421400842036,73.81486139209360
23,24,15,16,-8.59598853868195,169.05444126074499
15,16,16,17,-8.78293601003764,111.66875784190715
16,17,16,17,23.43731416782227,-289.92276033816285
17,18,16,17,-10.33515428908903,121.06895024361434
26,27,16,17,-4.31922386869560,57.47890225264138
2,3,17,18,-6.17630544637844,74.67714766984841
16,17,17,18,-10.33515428908903,121.06895024361434
17,18,17,18,16.51145973546747,-195.57324791346275
15,16,18,19,-4.17961913220658,50.93910817376766
18,19,18,19,10.46740324327355,-176.47474990802669
19,20,18,19,-3.45874068239965,68.18660202445032
32,33,18,19,-3.23655868736276,65.65590480078750
18,19,19,20,-3.45874068239965,68.18660202445035
19,20,19,20,6.38790578960683,-126.71061147118132
33,34,19,20,-2.74613543225957,54.92270864519135
15,16,20,21,-4.37421400842036,73.81486139209360
20,21,20,21,8.44256225903061,-144.75530577777303
21,22,20,21,-4.06834825061025,71.19609438567942
20,21,21,22,-4.06834825061025,71.19609438567942
21,22,21,22,10.55343255670623,-241.29734056942090
22,23,21,22,-6.48508430609598,103.76134889753568
34,35,21,22,-0.00000000000000,68.22445846836091
21,22,22,23,-6.48508430609598,103.76134889753568
22,23,22,23,8.94952839718310,-168.69982231639710
23,24,22,23,-1.78885058218955,28.45898653483379
35,36,22,23,-0.67559350889757,36.75228688402762
15,16,23,24,-8.59598853868195,169.05444126074499
22,23,23,24,-1.78885058218955,28.45898653483379
23,24,23,24,10.38483912087150,-197.29892779557881
1,2,24,25,-56.92908262849707,69.94144437215355
24,25,24,25,61.02681073161219,-141.26983757028580
25,26,24,25,-3.03740757263675,30.65883268630224
36,37,24,25,-1.08682854374032,42.02403702462572
24,25,25,26,-3.03740757263675,30.65883268630224
25,26,25,26,12.80336185185324,-133.58652446246100
26,27,25,26,-6.42054574638844,67.41573033707866
27,28,25,26,-1.89824522679616,20.92484273259022
28,29,25,26,-1.44716330603188,15.86801870648989
16,17,26,27,-4.31922386869560,57.47890225264138
25,26,26,27,-6.42054574638844,67.41573033707866
26,27,26,27,10.73976961508404,-124.61403258972004
25,26,27,28,-1.89824522679616,20.92484273259022
27,28,27,28,7.98599580295827,-86.07098108976724
28,29,27,28,-6.08775057616211,65.66073835717702
25,26,28,29,-1.44716330603188,15.86801870648989
27,28,28,29,-6.08775057616211,65.66073835717702
28,29,28,29,10.65561682053085,-141.74346436123574
37,38,28,29,-3.19872051179528,62.37504998000801
1,2,29,30,-0.00000000000000,53.90109149710281
29,30,29,30,0.00000000000000,-55.24861878453038
5,6,30,31,-0.00000000000000,37.38317757009346
30,31,30,31,0.00000000000000,-40.00000000000000
9,10,31,32,-0.00000000000000,46.72897196261682
31,32,31,32,0.00000000000000,-50.00000000000000
18,19,32,33,-3.23655868736276,65.65590480078748
32,33,32,33,3.46311779547816,-70.25181813684262
19,20,33,34,-2.74613543225957,54.92270864519135
33,34,33,34,2.77085065114990,-55.41701302299806
21,22,34,35,-0.00000000000000,68.22445846836091
34,35,34,35,0.00000000000000,-69.93006993006993
22,23,35,36,-0.67559350889757,36.75228688402762
35,36,35,36,0.67559350889757,-36.75228688402762
24,25,36,37,-1.08682854374032,42.02403702462573
36,37,36,37,1.11399925733383,-43.07463795024137
28,29,37,38,-3.19872051179528,62.37504998000801
37,38,37,38,3.27868852459017,-63.93442622950821
0,1,38,39,-1.59744408945687,39.93610223642172
8,9,38,39,-1.59744408945687,39.93610223642172
38,39,38,39,3.19488817891374,-78.89720447284344
